[00:01] 我们说一下这个漫居系统的一个完整的一个情况
[53:11] 具体我可以设斩按钮名啊什么的
[53:13] 它增加了一个海螺的按钮
[53:14] 在后台配置了对应的海螺的东西
[53:17] 就是参数啊什么
[53:19] 它就会在前台显示出来
[53:20] 具体它能生成多少秒的
[53:22] 它能调用什么模型
[53:24] 然后动态的
[53:25] 就是这边有什么功能
[53:27] 前台就显示什么功能
[53:28] 然后我再增加一个火山
[53:30] 火山的功能可能又不一样
[53:33] 然后有一个新的视频模型更好了
[53:35] 我也可以在这增加
[53:36] 然后配置一些标准的东西
[53:38] 前台就动态的生成那个模型
[53:40] 可调的东西
[53:41] 这样才是合理的
[53:44] 然后最后这个集成节点
[53:45] 这个节点是一个配置节点的
[53:47] 一个东西就是我可以看到命令
[53:49] 理论上来说把这个took命令复制以后
[53:52] 我去本地配置GPU
[53:54] 就可以把这个对应的东西就配置起来了
[53:57] 本地是一个完整的一个
[54:00] 就是configui的一个平台
[54:02] 这个GPU2是我自己本地的服务器
[54:04] 我已经配好了
[54:05] 这个到时候可以调用
[54:07] 如果说我们需要更好的这种调用的话
[54:10] 我们可以自己配一个更好的GPU
[54:13] 然后做一个更好的服务器
[54:15] 然后就能使用了
[54:16] 这里的原理很清楚
[54:18] 它是通过一个心跳的模式
[54:20] 去获取到这个GPU
[54:21] 这个GPU它不需要那种穿套
[54:23] 它只要能访问到我们这个官网
[54:26] 就可以调用它
[54:27] 然后它可以把这边需要生成的数据
[54:30] 传到GPU本地
[54:31] GPU执行完以后
[54:32] 再把最终的东西回传回来
[54:34] 比如说高清化
[54:35] 我传一个720P的过去
[54:37] 它在GPU这边
[54:39] 它生成1080P或者4K
[54:41] 再再传过来
[54:42] 然后我平台上就完成了这个东西了
[54:45] 这个最终的一个结果
[54:47] 把它存到我现在的网站服务器里面
[54:50] 就完成了GPU的生成工作
[54:52] 和API的原理是差不多的
[54:54] API我是调
[54:55] 比如说吉梦
[54:56] 我去调阿里
[54:57] 我去调其他火山的这样一些监控
[55:01] 同样是把数据传过去
[55:03] 最终它生成的图
[55:04] 它生成的视频要传回来
[55:05] 从脑服务器上
[55:07] 还有工作流模板
[55:08] 这个就是具体我调
[55:10] 对应的每一个conf
[55:12] conf.uI的时候
[55:14] 具体的工作流是怎么样的
[55:16] 这个里面它是通过这种模式
[55:18] jesse模式
[55:19] 我们在这里其实也可以加一个
[55:21] 工作流的这种图
[55:23] 我就可以看到它到底是怎么配的
[55:25] 它是按什么方式来配的
[55:28] 然后这里的话
[55:29] 它其实会把这个模式传回到
[55:31] 本地服务器
[55:32] 在本地服务器执行的就是这个
[55:35] 然后再进过传回来
[55:36] 这个都配好了这些
[55:38] 基本上现在这个平台
[55:40] 就是完全就讲完了
[55:43] 然后现在还缺一个东西
[55:45] 就是我们每一个平台
[55:47] 它其实会有一个调用结果的
[55:49] 理论上来说
[55:51] 这些调用的这些费用
[55:53] 这些消耗
[55:54] 还有剩余的余额这些东西
[55:57] 数据看吧
[55:58] 它都应该是能同步回我们的平台的
[56:00] 因为我们平台这边涉及到
[56:02] 太多调用
[56:03] 涉及到太多的费用了
[56:05] 那么在我们的那个就是
[56:07] 里面我应该是需要像CC这种一样
[56:10] 你看它在这个地方
[56:11] 它是可以同步回来
[56:13] 我这个调用的套餐
[56:15] 它剩余多少
[56:16] 然后它还有多少
[56:18] 还有就是这个余额它还有多少
[56:20] 我在这里看到余额不足
[56:21] 我就可以切换到这个平台里面去补足
[56:24] 或者我看到它的这个就是
[56:26] 对应的这个订阅
[56:28] 它的时间不够了
[56:29] 我就可以切换到这个订阅
[56:30] 比如说这个他已经用了7.7万了
[56:33] 用到10万他不够了
[56:34] 然后他就变成超额了
[56:36] 他要提醒我
[56:37] 这个我觉得应该是补到这个平台里面的
[56:39] 有反应能力
[56:40] 那一当就是整够我对这个产品的
[56:43] 也完整的说明
